Bestand;Pad;Categorie;Subcategorie;AantalTekens;AantalRegels;Status;Prioriteit;Notities
scripts.inc;data\maps\PacifidlogTown_House2\scripts.inc;Maps;PacifidlogTown;6838;188;Onvertaald;Middel;
scripts.inc;data\maps\Route123\scripts.inc;Maps;Route123;6739;200;Onvertaald;Middel;
tilemaps.h;src\data\decoration\tilemaps.h;Overig;;6721;241;Onvertaald;Middel;
scripts.inc;data\maps\SootopolisCity_Gym_B1F\scripts.inc;Maps;SootopolisCity;6642;183;Onvertaald;Middel;
region_map_layout.h;src\data\region_map\region_map_layout.h;Overig;;6552;17;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_Lounge5\scripts.inc;Battle;;6536;203;Onvertaald;Middel;
scripts.inc;data\maps\RustboroCity_Flat1_2F\scripts.inc;Maps;RustboroCity;6505;178;Vertaald;Middel;
scripts.inc;data\maps\ShoalCave_LowTideIceRoom_Suicune\scripts.inc;Maps;ShoalCave;6479;212;Onvertaald;Middel;
scripts.inc;data\maps\FarawayIsland_Interior\scripts.inc;Maps;FarawayIsland;6468;204;Onvertaald;Middel;
cry_ids.h;src\data\pokemon\cry_ids.h;Pokemon;;6457;184;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_BattleTowerMultiCorridor\scripts.inc;Battle;;6453;174;Onvertaald;Middel;
pkmn_center_nurse.inc;data\scripts\pkmn_center_nurse.inc;Overig;;6425;194;Onvertaald;Middel;
rayquaza_scene.h;src\data\graphics\rayquaza_scene.h;Overig;;6419;62;Onvertaald;Middel;
field_effect_object_template_pointers.h;src\data\field_effects\field_effect_object_template_pointers.h;Overig;;6410;84;Onvertaald;Middel;
battle_scripts_2.s;data\battle_scripts_2.s;Battle;;6396;208;Onvertaald;Middel;
easy_chat_group_trendy_saying.h;src\data\easy_chat\easy_chat_group_trendy_saying.h;Overig;;6355;234;Onvertaald;Middel;
scripts.inc;data\maps\MeteorFalls_StevensCave\scripts.inc;Maps;MeteorFalls;6316;164;Onvertaald;Middel;
trendysaying.h;src\data\bard_music\trendysaying.h;Overig;;6290;270;Onvertaald;Middel;
pokemon_news.inc;data\text\pokemon_news.inc;Pokemon;;6282;165;Onvertaald;Middel;
scripts.inc;data\maps\SkyPillar_Top\scripts.inc;Maps;SkyPillar;6268;226;Onvertaald;Middel;
scripts.inc;data\maps\Route109_SeashoreHouse\scripts.inc;Maps;Route109;6186;177;Onvertaald;Middel;
scripts.inc;data\maps\SSTidalRooms\scripts.inc;Maps;SSTidalRooms;6072;189;Onvertaald;Middel;
scripts.inc;data\maps\Route104_MrBrineysHouse\scripts.inc;Maps;Route104;6050;165;Vertaald;Middel;
easy_chat_group_pokemon2.h;src\data\easy_chat\easy_chat_group_pokemon2.h;Pokemon;;6025;280;Onvertaald;Middel;
scripts.inc;data\maps\VerdanturfTown_WandasHouse\scripts.inc;Maps;VerdanturfTown;6011;168;Onvertaald;Middel;
shared_secret_base.inc;data\scripts\shared_secret_base.inc;Overig;;6006;215;Onvertaald;Middel;
scripts.inc;data\maps\Route104_PrettyPetalFlowerShop\scripts.inc;Maps;Route104;5998;177;Vertaald;Middel;
scripts.inc;data\maps\AbandonedShip_Rooms2_1F\scripts.inc;Maps;AbandonedShip;5989;151;Onvertaald;Middel;
scripts.inc;data\maps\AbandonedShip_HiddenFloorCorridors\scripts.inc;Maps;AbandonedShip;5972;157;Onvertaald;Middel;
scripts.inc;data\maps\EverGrandeCity_SidneysRoom\scripts.inc;Maps;EverGrandeCity;5893;157;Onvertaald;Middel;
berry_tree.inc;data\scripts\berry_tree.inc;Overig;;5853;209;Onvertaald;Middel;
scripts.inc;data\maps\Route121\scripts.inc;Maps;Route121;5755;194;Onvertaald;Middel;
easy_chat_groups.h;src\data\easy_chat\easy_chat_groups.h;Overig;;5691;159;Onvertaald;Middel;
scripts.inc;data\maps\NewMauville_Inside_Raikou\scripts.inc;Maps;NewMauville;5686;192;Onvertaald;Middel;
scripts.inc;data\maps\LilycoveCity_House3\scripts.inc;Maps;LilycoveCity;5676;168;Onvertaald;Middel;
scripts.inc;data\maps\Route123_BerryMastersHouse\scripts.inc;Maps;Route123;5670;133;Onvertaald;Middel;
easy_chat_group_events.h;src\data\easy_chat\easy_chat_group_events.h;Events;;5612;206;Onvertaald;Middel;
scripts.inc;data\maps\ShoalCave_LowTideInnerRoom\scripts.inc;Maps;ShoalCave;5525;138;Onvertaald;Middel;
events.h;src\data\bard_music\events.h;Events;;5513;238;Onvertaald;Middel;
scripts.inc;data\maps\Route113\scripts.inc;Maps;Route113;5440;168;Onvertaald;Middel;
scripts.inc;data\maps\LilycoveCity_DepartmentStoreElevator\scripts.inc;Maps;LilycoveCity;5408;124;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_BattlePalaceCorridor\scripts.inc;Battle;;5397;151;Onvertaald;Middel;
scripts.inc;data\maps\EverGrandeCity_DrakesRoom\scripts.inc;Maps;EverGrandeCity;5392;138;Onvertaald;Middel;
scripts.inc;data\maps\NavelRock_UnownChamber\scripts.inc;Maps;NavelRock;5333;176;Vertaald;Middel;
scripts.inc;data\maps\AquaHideout_B1F\scripts.inc;Maps;AquaHideout;5324;160;Onvertaald;Middel;
profile_man.inc;data\scripts\profile_man.inc;Overig;;5264;166;Onvertaald;Middel;
scripts.inc;data\maps\SlateportCity_SternsShipyard_1F\scripts.inc;Maps;SlateportCity;5258;143;Onvertaald;Middel;
scripts.inc;data\maps\Route119_WeatherInstitute_1F\scripts.inc;Maps;Route119;5241;145;Onvertaald;Middel;
scripts.inc;data\maps\FallarborTown_CozmosHouse\scripts.inc;Maps;FallarborTown;5228;137;Onvertaald;Middel;
scripts.inc;data\maps\Route115\scripts.inc;Maps;Route115;5226;147;Onvertaald;Middel;
scripts.inc;data\maps\NavelRock_Fork\scripts.inc;Maps;NavelRock;5221;156;Vertaald;Middel;
easy_chat_group_trainer.h;src\data\easy_chat\easy_chat_group_trainer.h;Trainers;;5159;192;Onvertaald;Middel;
scripts.inc;data\maps\LilycoveCity_DepartmentStore_5F\scripts.inc;Maps;LilycoveCity;5153;172;Onvertaald;Middel;
trainer.h;src\data\bard_music\trainer.h;Trainers;;5088;222;Onvertaald;Middel;
scripts.inc;data\maps\EverGrandeCity_GlaciasRoom\scripts.inc;Maps;EverGrandeCity;5015;127;Onvertaald;Middel;
scripts.inc;data\maps\RustboroCity_DevonCorp_1F\scripts.inc;Maps;RustboroCity;5008;144;Vertaald;Middel;
scripts.inc;data\maps\PetalburgCity_WallysHouse\scripts.inc;Maps;PetalburgCity;4993;137;Vertaald;Middel;
scripts.inc;data\maps\AquaHideout_UnusedRubyMap2\scripts.inc;Maps;AquaHideout;4985;138;Onvertaald;Middel;
scripts.inc;data\maps\AquaHideout_B2F\scripts.inc;Maps;AquaHideout;4984;162;Onvertaald;Middel;
scripts.inc;data\maps\EverGrandeCity_PhoebesRoom\scripts.inc;Maps;EverGrandeCity;4944;127;Onvertaald;Middel;
scripts.inc;data\maps\EverGrandeCity_PokemonLeague_1F\scripts.inc;Pokemon;;4881;155;Onvertaald;Middel;
braille.inc;data\text\braille.inc;UI;;4768;192;Onvertaald;Middel;
scripts.inc;data\maps\SkyPillar_Outside\scripts.inc;Maps;SkyPillar;4721;172;Onvertaald;Middel;
scripts.inc;data\maps\LilycoveCity_CoveLilyMotel_2F\scripts.inc;Maps;LilycoveCity;4720;136;Onvertaald;Middel;
scripts.inc;data\maps\Route110_TrickHousePuzzle2\scripts.inc;Maps;Route110;4702;141;Onvertaald;Middel;
easy_chat_group_pokemon.h;src\data\easy_chat\easy_chat_group_pokemon.h;Pokemon;;4673;220;Onvertaald;Middel;
scripts.inc;data\maps\Route112\scripts.inc;Maps;Route112;4636;147;Onvertaald;Middel;
scripts.inc;data\maps\LilycoveCity_CoveLilyMotel_1F\scripts.inc;Maps;LilycoveCity;4593;131;Onvertaald;Middel;
trainer_battle.inc;data\scripts\trainer_battle.inc;Trainers;;4565;157;Onvertaald;Middel;
scripts.inc;data\maps\SouthernIsland_Interior\scripts.inc;Maps;SouthernIsland;4525;149;Onvertaald;Middel;
scripts.inc;data\maps\FortreeCity\scripts.inc;Maps;FortreeCity;4498;155;Onvertaald;Middel;
slot_machine.h;src\data\graphics\slot_machine.h;Overig;;4414;57;Onvertaald;Middel;
easy_chat_group_move_2.h;src\data\easy_chat\easy_chat_group_move_2.h;Moves;;4362;217;Onvertaald;Middel;
sliding_puzzles.h;src\data\sliding_puzzles.h;Overig;;4338;91;Onvertaald;Middel;
scripts.inc;data\maps\SlateportCity_NameRatersHouse\scripts.inc;Maps;SlateportCity;4326;111;Onvertaald;Middel;
scripts.inc;data\maps\ShoalCave_LowTideEntranceRoom\scripts.inc;Maps;ShoalCave;4310;102;Onvertaald;Middel;
scripts.inc;data\maps\Route121_SafariZoneEntrance\scripts.inc;Maps;Route121;4284;131;Onvertaald;Middel;
scripts.inc;data\maps\MtPyre_2F\scripts.inc;Maps;MtPyre;4241;136;Onvertaald;Middel;
scripts.inc;data\maps\SafariZone_South\scripts.inc;Maps;SafariZone;4226;154;Onvertaald;Middel;
scripts.inc;data\maps\BirthIsland_Exterior\scripts.inc;Maps;BirthIsland;4149;128;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_RankingHall\scripts.inc;Battle;;4124;134;Onvertaald;Middel;
scripts.inc;data\maps\IslandCave\scripts.inc;Maps;IslandCave;4118;128;Onvertaald;Middel;
scripts.inc;data\maps\CaveOfOrigin_B1F\scripts.inc;Maps;CaveOfOrigin;4072;120;Onvertaald;Middel;
ribbon_descriptions.h;src\data\text\ribbon_descriptions.h;UI;;4045;48;Onvertaald;Middel;
scripts.inc;data\maps\VerdanturfTown\scripts.inc;Maps;VerdanturfTown;4038;135;Onvertaald;Middel;
scripts.inc;data\maps\FallarborTown_MoveRelearnersHouse\scripts.inc;Moves;;3999;99;Onvertaald;Middel;
scripts.inc;data\maps\VictoryRoad_B2F\scripts.inc;Maps;VictoryRoad;3980;123;Onvertaald;Middel;
scripts.inc;data\maps\NavelRock_Top\scripts.inc;Maps;NavelRock;3956;156;Vertaald;Middel;"""NAVEL ROCK""' LOCATIE NIET VERTAALD!"
scripts.inc;data\maps\LilycoveCity_MoveDeletersHouse\scripts.inc;Moves;;3951;108;Onvertaald;Middel;
scripts.inc;data\maps\Route111_WinstrateFamilysHouse\scripts.inc;Maps;Route111;3908;107;Onvertaald;Middel;
scripts.inc;data\maps\AbandonedShip_HiddenFloorRooms\scripts.inc;Maps;AbandonedShip;3894;119;Onvertaald;Middel;
scripts.inc;data\maps\AquaHideout_1F\scripts.inc;Maps;AquaHideout;3870;119;Onvertaald;Middel;
scripts.inc;data\maps\Route105\scripts.inc;Maps;Route105;3846;99;Onvertaald;Middel;
scripts.inc;data\maps\GraniteCave_StevensRoom\scripts.inc;Maps;GraniteCave;3822;123;Onvertaald;Middel;
scripts.inc;data\maps\Route125\scripts.inc;Maps;Route125;3813;99;Onvertaald;Middel;
change_deoxys_form.inc;data\scripts\change_deoxys_form.inc;Overig;;3807;137;Onvertaald;Middel;
scripts.inc;data\maps\Route124\scripts.inc;Maps;Route124;3804;106;Onvertaald;Middel;
scripts.inc;data\maps\Route114_LanettesHouse\scripts.inc;Maps;Route114;3746;104;Onvertaald;Middel;
scripts.inc;data\maps\VerdanturfTown_FriendshipRatersHouse\scripts.inc;Maps;VerdanturfTown;3694;104;Onvertaald;Middel;
birch_speech.inc;data\text\birch_speech.inc;UI;;3657;111;Onvertaald;Middel;
pokedex_rating.inc;data\text\pokedex_rating.inc;Pokedex;;3573;115;Onvertaald;Middel;
scripts.inc;data\maps\SlateportCity_BattleTentBattleRoom\scripts.inc;Battle;;3528;105;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_BattleDomeCorridor\scripts.inc;Battle;;3513;151;Onvertaald;Middel;
back_pic_anims.h;src\data\trainer_graphics\back_pic_anims.h;Trainers;;3477;157;Onvertaald;Middel;
scripts.inc;data\maps\Route102\scripts.inc;Maps;Route102;3471;111;Vertaald;Middel;
scripts.inc;data\maps\Route114_FossilManiacsTunnel\scripts.inc;Maps;Route114;3448;93;Onvertaald;Middel;
word_pitch.h;src\data\bard_music\word_pitch.h;Overig;;3416;55;Onvertaald;Middel;
scripts.inc;data\maps\NavelRock_Bottom\scripts.inc;Maps;NavelRock;3399;121;Vertaald;Middel;"""NAVEL ROCK""' LOCATIE NIET VERTAALD!"
scripts.inc;data\maps\SeafloorCavern_Entrance\scripts.inc;Maps;SeafloorCavern;3357;90;Onvertaald;Middel;
trainer_class_names.h;src\data\text\trainer_class_names.h;Trainers;;3318;69;Onvertaald;Middel;
elite_four.inc;data\scripts\elite_four.inc;Overig;;3302;62;Onvertaald;Middel;
scripts.inc;data\maps\EverGrandeCity_HallOfFame\scripts.inc;Maps;EverGrandeCity;3289;99;Onvertaald;Middel;
scripts.inc;data\maps\MtPyre_3F\scripts.inc;Maps;MtPyre;3279;101;Onvertaald;Middel;
scripts.inc;data\maps\FallarborTown_PokemonCenter_1F\scripts.inc;Pokemon;;3269;114;Onvertaald;Middel;
back_pic_tables.h;src\data\trainer_graphics\back_pic_tables.h;Trainers;;3263;72;Onvertaald;Middel;
intro_scene.h;src\data\graphics\intro_scene.h;Overig;;3250;47;Onvertaald;Middel;
scripts.inc;data\maps\PetalburgCity_PokemonCenter_1F\scripts.inc;Pokemon;;3236;96;Onvertaald;Middel;
battle_frontier_exchange_corner.h;src\data\battle_frontier\battle_frontier_exchange_corner.h;Battle;;3203;99;Onvertaald;Middel;
scripts.inc;data\maps\Route110_TrickHousePuzzle6\scripts.inc;Maps;Route110;3195;87;Onvertaald;Middel;
scripts.inc;data\maps\EverGrandeCity_PokemonCenter_1F\scripts.inc;Pokemon;;3191;101;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_Mart\scripts.inc;Battle;;3145;140;Onvertaald;Middel;
scripts.inc;data\maps\VictoryRoad_B1F\scripts.inc;Maps;VictoryRoad;3117;93;Onvertaald;Middel;
scripts.inc;data\maps\Route127\scripts.inc;Maps;Route127;3096;80;Onvertaald;Middel;
scripts.inc;data\maps\PacifidlogTown_House3\scripts.inc;Maps;PacifidlogTown;3080;89;Onvertaald;Middel;
scripts.inc;data\maps\FortreeCity_House1\scripts.inc;Maps;FortreeCity;3076;98;Onvertaald;Middel;
easy_chat_group_move_1.h;src\data\easy_chat\easy_chat_group_move_1.h;Moves;;3076;158;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_BattleTowerElevator\scripts.inc;Battle;;3025;88;Onvertaald;Middel;
scripts.inc;data\maps\AbandonedShip_Corridors_B1F\scripts.inc;Maps;AbandonedShip;3019;88;Onvertaald;Middel;
prof_birch.inc;data\scripts\prof_birch.inc;Overig;;2936;78;Onvertaald;Laag;
mail.h;src\data\graphics\mail.h;Overig;;2905;38;Onvertaald;Laag;
scripts.inc;data\maps\FortreeCity_House4\scripts.inc;Maps;FortreeCity;2885;97;Onvertaald;Laag;
scripts.inc;data\maps\MossdeepCity_GameCorner_1F\scripts.inc;Maps;MossdeepCity;2880;87;Onvertaald;Laag;
secret_power_tm.inc;data\scripts\secret_power_tm.inc;Overig;;2875;100;Onvertaald;Laag;
lottery_corner.inc;data\text\lottery_corner.inc;UI;;2875;77;Onvertaald;Laag;
scripts.inc;data\maps\AncientTomb\scripts.inc;Maps;AncientTomb;2867;96;Onvertaald;Laag;
scripts.inc;data\maps\AbandonedShip_Rooms_1F\scripts.inc;Maps;AbandonedShip;2861;79;Onvertaald;Laag;
scripts.inc;data\maps\RustboroCity_House1\scripts.inc;Maps;RustboroCity;2853;83;Vertaald;Laag;
scripts.inc;data\maps\MagmaHideout_2F_2R\scripts.inc;Maps;MagmaHideout;2846;80;Onvertaald;Laag;
scripts.inc;data\maps\Route112_CableCarStation\scripts.inc;Maps;Route112;2831;98;Onvertaald;Laag;
scripts.inc;data\maps\DesertRuins\scripts.inc;Maps;DesertRuins;2830;96;Onvertaald;Laag;
scripts.inc;data\maps\MtChimney_CableCarStation\scripts.inc;Maps;MtChimney;2828;97;Onvertaald;Laag;
scripts.inc;data\maps\SealedChamber_OuterRoom\scripts.inc;Maps;SealedChamber;2826;107;Onvertaald;Laag;
scripts.inc;data\maps\FortreeCity_House2\scripts.inc;Maps;FortreeCity;2806;81;Onvertaald;Laag;
blend_master.inc;data\text\blend_master.inc;UI;;2800;85;Onvertaald;Laag;
city_map_entries.h;src\data\region_map\city_map_entries.h;Overig;;2783;113;Onvertaald;Laag;
scripts.inc;data\maps\Route110_TrickHousePuzzle1\scripts.inc;Maps;Route110;2747;77;Onvertaald;Laag;
scripts.inc;data\maps\FallarborTown\scripts.inc;Maps;FallarborTown;2697;95;Onvertaald;Laag;
crt0.s;src\crt0.s;Overig;;2697;126;Onvertaald;Laag;
scripts.inc;data\maps\BattleFrontier_Lounge6\scripts.inc;Battle;;2625;77;Onvertaald;Laag;
scripts.inc;data\maps\SootopolisCity_PokemonCenter_1F\scripts.inc;Pokemon;;2586;72;Onvertaald;Laag;
tv.inc;data\scripts\tv.inc;Overig;;2582;85;Onvertaald;Laag;
scripts.inc;data\maps\MagmaHideout_2F_1R\scripts.inc;Maps;MagmaHideout;2557;77;Onvertaald;Laag;
scripts.inc;data\maps\Route110_TrickHousePuzzle8\scripts.inc;Maps;Route110;2521;71;Onvertaald;Laag;
heal_locations.h;src\data\heal_locations.h;Overig;;2512;25;Onvertaald;Laag;
scripts.inc;data\maps\Route110_TrickHousePuzzle4\scripts.inc;Maps;Route110;2500;70;Onvertaald;Laag;
city_map_tilemaps.h;src\data\region_map\city_map_tilemaps.h;Overig;;2491;22;Onvertaald;Laag;
set_gym_trainers.inc;data\scripts\set_gym_trainers.inc;Trainers;;2489;92;Onvertaald;Laag;
event_ticket_2.inc;data\text\event_ticket_2.inc;Events;;2469;71;Onvertaald;Laag;
scripts.inc;data\maps\MirageTower_4F\scripts.inc;Maps;MirageTower;2373;82;Onvertaald;Laag;
trick_house_mechadolls.inc;data\text\trick_house_mechadolls.inc;UI;;2350;134;Onvertaald;Laag;
scripts.inc;data\maps\TrainerHill_Roof\scripts.inc;Trainers;;2329;67;Onvertaald;Laag;
scripts.inc;data\maps\LilycoveCity_PokemonCenter_1F\scripts.inc;Pokemon;;2328;68;Onvertaald;Laag;
scripts.inc;data\maps\SootopolisCity_MysteryEventsHouse_B1F\scripts.inc;Maps;SootopolisCity;2322;75;Onvertaald;Laag;
scripts.inc;data\maps\CaveOfOrigin_UnusedRubySapphireMap1\scripts.inc;Maps;CaveOfOrigin;2318;68;Onvertaald;Laag;
scripts.inc;data\maps\VerdanturfTown_BattleTentCorridor\scripts.inc;Battle;;2317;76;Onvertaald;Laag;
nature_names.h;src\data\text\nature_names.h;UI;;2304;54;Onvertaald;Laag;
scripts.inc;data\maps\Route126\scripts.inc;Maps;Route126;2296;66;Onvertaald;Laag;
scripts.inc;data\maps\VictoryRoad_Moltres2\scripts.inc;Maps;VictoryRoad;2289;73;Onvertaald;Laag;
frontier_brain.inc;data\text\frontier_brain.inc;UI;;2289;108;Onvertaald;Laag;
scripts.inc;data\maps\Route110_SeasideCyclingRoadSouthEntrance\scripts.inc;Maps;Route110;2284;65;Onvertaald;Laag;
scripts.inc;data\maps\FortreeCity_PokemonCenter_1F\scripts.inc;Pokemon;;2283;70;Onvertaald;Laag;
scripts.inc;data\maps\Route116_TunnelersRestHouse\scripts.inc;Maps;Route116;2271;62;Onvertaald;Laag;
hall_of_fame.inc;data\scripts\hall_of_fame.inc;Overig;;2259;51;Onvertaald;Laag;
scripts.inc;data\maps\MtPyre_6F\scripts.inc;Maps;MtPyre;2250;71;Onvertaald;Laag;
scripts.inc;data\maps\RustboroCity_PokemonCenter_1F\scripts.inc;Pokemon;;2241;66;Onvertaald;Laag;
scripts.inc;data\maps\TrainerHill_Elevator\scripts.inc;Trainers;;2240;90;Onvertaald;Laag;
scripts.inc;data\maps\TerraCave_End\scripts.inc;Maps;TerraCave;2238;79;Onvertaald;Laag;
scripts.inc;data\maps\GraniteCave_B2F\scripts.inc;Maps;GraniteCave;2235;64;Onvertaald;Laag;
scripts.inc;data\maps\MarineCave_End\scripts.inc;Maps;MarineCave;2233;79;Onvertaald;Laag;
scripts.inc;data\maps\NewMauville_Entrance\scripts.inc;Maps;NewMauville;2216;58;Onvertaald;Laag;
scripts.inc;data\maps\MeteorFalls_Articuno\scripts.inc;Maps;MeteorFalls;2204;71;Onvertaald;Laag;
scripts.inc;data\maps\PetalburgCity_Mart\scripts.inc;Maps;PetalburgCity;2203;89;Vertaald;Laag;
enemy_mon_elevation.h;src\data\pokemon_graphics\enemy_mon_elevation.h;Pokemon;;2199;78;Onvertaald;Laag;
scripts.inc;data\maps\CaveOfOrigin_UnusedRubySapphireMap2\scripts.inc;Maps;CaveOfOrigin;2190;61;Onvertaald;Laag;
scripts.inc;data\maps\UnionRoom\scripts.inc;Maps;UnionRoom;2183;109;Onvertaald;Laag;
scripts.inc;data\maps\SealedChamber_InnerRoom\scripts.inc;Maps;SealedChamber;2180;87;Onvertaald;Laag;
scripts.inc;data\maps\Route111_OldLadysRestStop\scripts.inc;Maps;Route111;2179;61;Onvertaald;Laag;
scripts.inc;data\maps\RustboroCity_Mart\scripts.inc;Maps;RustboroCity;2178;84;Vertaald;Laag;
scripts.inc;data\maps\SootopolisCity_Mart\scripts.inc;Maps;SootopolisCity;2172;81;Onvertaald;Laag;
scripts.inc;data\maps\BattleFrontier_BattleTowerCorridor\scripts.inc;Battle;;2158;56;Onvertaald;Laag;
scripts.inc;data\maps\BattleFrontier_BattleArenaCorridor\scripts.inc;Battle;;2155;92;Onvertaald;Laag;
scripts.inc;data\maps\MauvilleCity_House2\scripts.inc;Maps;MauvilleCity;2155;65;Onvertaald;Laag;
kecleon.inc;data\scripts\kecleon.inc;Overig;;2135;111;Onvertaald;Laag;
scripts.inc;data\maps\LilycoveCity_DepartmentStore_2F\scripts.inc;Maps;LilycoveCity;2128;84;Onvertaald;Laag;
scripts.inc;data\maps\FallarborTown_BattleTentCorridor\scripts.inc;Battle;;2121;70;Onvertaald;Laag;
scripts.inc;data\maps\MagmaHideout_1F\scripts.inc;Maps;MagmaHideout;2121;65;Onvertaald;Laag;
scripts.inc;data\maps\Route129\scripts.inc;Maps;Route129;2081;51;Onvertaald;Laag;
scripts.inc;data\maps\Route107\scripts.inc;Maps;Route107;2078;56;Onvertaald;Laag;
scripts.inc;data\maps\ScorchedSlab_Zapdos\scripts.inc;Maps;ScorchedSlab;2066;69;Onvertaald;Laag;
questionnaire.inc;data\scripts\questionnaire.inc;Overig;;2066;57;Onvertaald;Laag;
scripts.inc;data\maps\Route131\scripts.inc;Maps;Route131;2061;59;Onvertaald;Laag;
scripts.inc;data\maps\SeafloorCavern_Room3\scripts.inc;Maps;SeafloorCavern;2050;58;Onvertaald;Laag;
scripts.inc;data\maps\OldaleTown_PokemonCenter_1F\scripts.inc;Pokemon;;2047;64;Onvertaald;Laag;
contest_painting.inc;data\text\contest_painting.inc;UI;;2029;96;Onvertaald;Laag;
scripts.inc;data\maps\LilycoveCity_DepartmentStore_3F\scripts.inc;Maps;LilycoveCity;2028;76;Onvertaald;Laag;
scripts.inc;data\maps\LavaridgeTown_Gym_B1F\scripts.inc;Maps;LavaridgeTown;2027;49;Onvertaald;Laag;
scripts.inc;data\maps\MagmaHideout_3F_1R\scripts.inc;Maps;MagmaHideout;2027;61;Onvertaald;Laag;
scripts.inc;data\maps\InsideOfTruck\scripts.inc;Maps;InsideOfTruck;2016;57;Onvertaald;Laag;
scripts.inc;data\maps\CeruleanCave3\scripts.inc;Maps;CeruleanCave3;2004;69;Onvertaald;Laag;
scripts.inc;data\maps\ShoalCave_LowTideLowerRoom\scripts.inc;Maps;ShoalCave;2002;58;Onvertaald;Laag;
pc.inc;data\scripts\pc.inc;Overig;;1995;83;Onvertaald;Laag;
shoal_cave.inc;data\text\shoal_cave.inc;UI;;1981;53;Onvertaald;Laag;
trainer_hill.inc;data\scripts\trainer_hill.inc;Trainers;;1979;68;Onvertaald;Laag;
scripts.inc;data\maps\LilycoveCity_DepartmentStore_4F\scripts.inc;Maps;LilycoveCity;1973;72;Onvertaald;Laag;
scripts.inc;data\maps\Underwater_SeafloorCavern\scripts.inc;Maps;Underwater;1961;50;Onvertaald;Laag;
scripts.inc;data\maps\LavaridgeTown_HerbShop\scripts.inc;Maps;LavaridgeTown;1951;66;Onvertaald;Laag;
scripts.inc;data\maps\OldaleTown_Mart\scripts.inc;Maps;OldaleTown;1938;78;Vertaald;Laag;
bard_sounds.h;src\data\bard_music\bard_sounds.h;Overig;;1936;52;Onvertaald;Laag;
gift_pichu.inc;data\scripts\gift_pichu.inc;Overig;;1927;82;Onvertaald;Laag;
scripts.inc;data\maps\RustboroCity_CuttersHouse\scripts.inc;Maps;RustboroCity;1926;52;Vertaald;Laag;
scripts.inc;data\maps\BattleFrontier_BattlePikeCorridor\scripts.inc;Battle;;1922;62;Onvertaald;Laag;
scripts.inc;data\maps\MossdeepCity_House2\scripts.inc;Maps;MossdeepCity;1883;70;Onvertaald;Laag;
scripts.inc;data\maps\FortreeCity_DecorationShop\scripts.inc;Maps;FortreeCity;1879;72;Onvertaald;Laag;
scripts.inc;data\maps\Route134\scripts.inc;Maps;Route134;1877;55;Onvertaald;Laag;
scripts.inc;data\maps\Route114_FossilManiacsHouse\scripts.inc;Maps;Route114;1865;54;Onvertaald;Laag;
pokeballs.h;src\data\graphics\pokeballs.h;Overig;;1865;37;Onvertaald;Laag;
scripts.inc;data\maps\MtPyre_1F\scripts.inc;Maps;MtPyre;1840;60;Onvertaald;Laag;
scripts.inc;data\maps\Route108\scripts.inc;Maps;Route108;1838;51;Onvertaald;Laag;
scripts.inc;data\maps\MauvilleCity_PokemonCenter_1F\scripts.inc;Pokemon;;1829;56;Onvertaald;Laag;
scripts.inc;data\maps\DewfordTown_House2\scripts.inc;Maps;DewfordTown;1781;58;Onvertaald;Laag;
roulette.inc;data\scripts\roulette.inc;Overig;;1765;67;Onvertaald;Laag;
pkmn_center_nurse.inc;data\text\pkmn_center_nurse.inc;UI;;1746;56;Onvertaald;Laag;
scripts.inc;data\maps\SootopolisCity_House6\scripts.inc;Maps;SootopolisCity;1737;53;Onvertaald;Laag;
berry_fix.h;src\data\graphics\berry_fix.h;Overig;;1735;23;Onvertaald;Laag;
scripts.inc;data\maps\Route130\scripts.inc;Maps;Route130;1721;52;Onvertaald;Laag;
scripts.inc;data\maps\Route106\scripts.inc;Maps;Route106;1692;50;Onvertaald;Laag;
scripts.inc;data\maps\MossdeepCity_House4\scripts.inc;Maps;MossdeepCity;1691;61;Onvertaald;Laag;
scripts.inc;data\maps\LavaridgeTown_PokemonCenter_1F\scripts.inc;Pokemon;;1645;50;Onvertaald;Laag;
scripts.inc;data\maps\MossdeepCity_Mart\scripts.inc;Maps;MossdeepCity;1643;65;Onvertaald;Laag;
scripts.inc;data\maps\FallarborTown_Mart\scripts.inc;Maps;FallarborTown;1633;70;Onvertaald;Laag;
scripts.inc;data\maps\BattleFrontier_BattlePikeRoomWildMons\scripts.inc;Battle;;1626;42;Onvertaald;Laag;
mauville_man.inc;data\text\mauville_man.inc;UI;;1615;63;Onvertaald;Laag;
scripts.inc;data\maps\PacifidlogTown\scripts.inc;Maps;PacifidlogTown;1614;56;Onvertaald;Laag;
movement.inc;data\scripts\movement.inc;Moves;;1611;107;Onvertaald;Laag;
scripts.inc;data\maps\Route132\scripts.inc;Maps;Route132;1608;45;Onvertaald;Laag;
scripts.inc;data\maps\MossdeepCity_House3\scripts.inc;Maps;MossdeepCity;1592;50;Onvertaald;Laag;
